报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2009年报,2010-04-17,2010-05-08,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-07,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-16,2011-05-11,2011-06-15,10派1.5元(含税),2011-06-20,2011-06-21,8.40亿,实施方案,23.81%,1.29%
2011中报,2011-08-06,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-21,2012-05-12,2012-06-15,10派1.5元(含税),2012-06-20,2012-06-21,8.40亿,实施方案,47.08%,1.35%
2012中报,2012-08-18,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-30,2013-04-20,2013-06-04,10派1.50元(含税),2013-06-07,2013-06-13,8.40亿,实施方案,51.99%,1.51%
2013中报,2013-08-17,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-17,2014-05-08,2014-06-19,10派1.5元(含税),2014-06-24,2014-06-25,8.40亿,实施方案,37.98%,1.97%
2014中报,2014-08-09,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-09,2015-03-31,2015-04-24,10派5.00元(含税),2015-04-29,2015-04-30,28.00亿,实施方案,62.41%,1.63%
2015中报,2015-08-22,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-30,2016-06-09,2016-07-29,10派5.00元(含税),2016-08-04,2016-08-05,35.81亿,实施方案,30.39%,2.61%
2016中报,2016-08-20,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-31,2017-06-22,2017-08-01,10派5.00元(含税),2017-08-07,2017-08-08,35.81亿,实施方案,57.12%,2.48%
2017中报,2017-08-12,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-29,2018-06-14,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-31,2018-10-23,2018-11-08,10派3.00元(含税),2018-11-14,2018-11-15,24.75亿,实施方案,68.03%,1.74%
2018年报,2019-03-30,2019-06-27,2019-08-09,10派3.00元(含税),2019-08-15,2019-08-16,27.23亿,实施方案,45.45%,1.56%
2019中报,2019-08-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-06-19,2020-07-09,10派3.00元(含税),2020-07-15,2020-07-16,27.23亿,实施方案,28.85%,1.3%
2020中报,2020-08-27,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-24,2021-06-23,2021-07-31,10派4.00元(含税),2021-08-05,2021-08-06,36.31亿,实施方案,33.33%,2.7%
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-06-23,2022-07-29,10派4.5元(含税),2022-08-04,2022-08-05,40.84亿,实施方案,30.61%,3.49%
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-07-01,2023-08-04,10派4.5元(含税),2023-08-10,2023-08-11,40.84亿,实施方案,38.14%,2.5%
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-06-21,,10派4.3元(含税),,,31.43亿,股东大会预案,31.85%,--
