报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1997年报,1998-03-06,1998-04-09,,不分配不转增,,,--,股东大会预案,--,--
1998中报,1998-08-06,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-02-02,1999-04-21,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-08-28,1999-10-13,1999-10-21,10转增5股派3元(含税),1999-10-26,1999-10-27,6630.00万,实施方案,--,1.44%
1999年报,2000-03-14,2000-04-27,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-08-08,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-02-24,2001-05-10,2001-05-18,10派2元(含税),2001-05-25,2001-05-28,7830.00万,实施方案,95.24%,1.64%
2001中报,2001-08-04,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-08,2002-06-07,2002-06-13,10派1.35元(含税),2002-06-20,2002-06-21,5285.25万,实施方案,112.5%,1.77%
2002中报,2002-08-09,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-26,2003-06-10,2003-07-08,10股派1元(含税),2003-07-15,2003-07-16,3915.00万,实施方案,90.91%,1.5%
2003中报,2003-08-14,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-18,2004-06-25,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-07-30,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-16,2005-04-19,2005-05-11,10转增6股,2005-05-16,2005-05-17,--,实施方案,--,--
2005中报,2005-07-30,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-02-18,2006-06-29,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-07-20,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-30,2007-05-17,2007-06-15,10派1.25元(含税),2007-06-21,2007-06-22,7830.00万,实施方案,111.81%,0.4%
2007中报,2007-07-24,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-01,2008-05-29,2008-06-18,10派1元(含税),2008-06-25,2008-06-26,1.13亿,实施方案,68.31%,0.6%
2008中报,2008-08-06,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-03,2009-04-23,2009-05-12,10转增12股,2009-05-15,2009-05-18,--,实施方案,--,--
2009中报,2009-07-25,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-31,2010-04-22,2010-05-07,10派0.7元(含税),2010-05-13,2010-05-14,1.73亿,实施方案,53.85%,0.58%
2010中报,2010-07-29,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-08,2011-04-01,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-10,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-20,2012-04-27,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-17,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-23,2013-05-16,2013-06-21,10派1元(含税),2013-06-26,2013-06-27,2.65亿,实施方案,105.37%,1.08%
2013中报,2013-08-22,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-01,2014-04-25,2014-06-12,10派0.15元(含税),2014-06-18,2014-06-19,3980.75万,实施方案,11.35%,0.16%
2014中报,2014-08-19,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-31,2015-04-25,2015-06-10,10派1元(含税),2015-06-15,2015-06-16,2.65亿,实施方案,75.41%,0.22%
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-29,2016-04-23,2016-06-07,10派1.00元(含税),2016-06-15,2016-06-16,2.77亿,实施方案,67.52%,0.58%
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-14,2017-04-22,2017-06-10,10派0.50元(含税),2017-06-15,2017-06-16,1.38亿,实施方案,33.51%,0.27%
2017中报,2017-08-22,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-13,2018-04-26,2018-06-08,10派0.85元(含税),2018-06-15,2018-06-19,2.35亿,实施方案,49.91%,0.58%
2018中报,2018-08-28,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-19,2019-04-26,2019-06-14,10派1.00元(含税),2019-06-19,2019-06-20,2.77亿,实施方案,49.6%,0.65%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-04-29,2020-06-12,10派1.2元(含税),2020-06-19,2020-06-22,3.32亿,实施方案,30.92%,0.71%
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-30,2021-04-29,2021-06-18,10派0.85元(含税),2021-06-23,2021-06-24,2.35亿,实施方案,30.27%,0.32%
2021中报,2021-08-24,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-29,2022-04-28,2022-06-15,10派0.85元(含税),2022-06-22,2022-06-23,2.35亿,实施方案,36.05%,0.31%
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-18,2023-05-11,2023-06-19,10派1元(含税),2023-06-28,2023-06-29,2.78亿,实施方案,52.91%,0.4%
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-02,2024-04-27,2024-06-13,10派1元(含税),2024-06-20,2024-06-21,2.78亿,实施方案,32.21%,--
