报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2002年报,2003-02-28,2003-04-01,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-09,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-02-27,2004-03-31,2004-04-26,10派1元(含税),2004-04-29,2004-04-30,995.40万,实施方案,24.39%,0.63%
2004中报,2004-08-03,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-08,2005-04-09,2005-04-25,10派1.2元(含税),2005-04-28,2005-04-29,1194.48万,实施方案,25%,1.14%
2005中报,2005-07-26,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-03-10,2006-04-11,2006-04-27,10送1股派1元(含税),2006-05-10,2006-05-11,995.40万,实施方案,18.87%,0.56%
2006中报,2006-07-26,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-29,2007-04-20,2007-05-11,10转增1股派1元(含税),2007-05-16,2007-05-17,1164.94万,实施方案,11.9%,0.24%
2007中报,2007-08-03,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-02-28,2008-03-21,2008-03-26,10转增3股派1元(含税),2008-03-31,2008-04-01,1281.43万,实施方案,9.17%,0.26%
2008中报,2008-08-05,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-13,2009-04-04,2009-05-15,10派1元(含税),2009-05-20,2009-05-21,1665.86万,实施方案,16.67%,0.51%
2009中报,2009-08-08,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-23,2010-04-13,2010-04-23,10转10股派1元(含税),2010-04-28,2010-04-29,2158.78万,实施方案,12.99%,0.29%
2010中报,2010-08-16,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-25,2011-04-16,2011-05-04,10送5股转5股派1元(含税),2011-05-09,2011-05-10,4317.55万,实施方案,22.73%,0.52%
2011中报,2011-07-30,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-23,2012-04-13,2012-06-06,10派0.8元(含税),2012-06-11,2012-06-12,6908.08万,实施方案,10.39%,1.13%
2012中报,2012-08-20,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-16,2013-04-09,2013-05-22,10派0.8元(含税),2013-05-27,2013-05-28,6908.08万,实施方案,32%,1.12%
2013中报,2013-08-08,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-22,2014-04-12,2014-04-25,10派1.1元(含税),2014-04-30,2014-05-05,9498.61万,实施方案,31.43%,1.1%
2014中报,2014-08-12,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-17,2015-05-08,2015-06-25,10派1.25元(含税),2015-06-30,2015-07-01,1.11亿,实施方案,29.76%,0.61%
2015中报,2015-08-14,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-09,2016-04-30,2016-06-14,10转2股派1.35元(含税),2016-06-17,2016-06-20,1.48亿,实施方案,26.47%,0.8%
2016中报,2016-08-20,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-14,2017-04-06,2017-05-24,10派0.8元(含税),2017-05-31,2017-06-01,1.05亿,实施方案,15.09%,0.65%
2017中报,2017-08-19,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-24,2018-05-15,2018-07-05,10派0.9元(含税),2018-07-11,2018-07-12,1.19亿,实施方案,10.23%,0.9%
2018中报,2018-08-25,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-27,2019-05-31,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-29,2020-05-21,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-24,2021-05-15,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-05-19,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-05-19,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-20,2024-05-11,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-29,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,2025-05-20,,不分配不转增,,,--,股东大会预案,--,--
