报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2010中报,2010-07-29,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-02-28,2011-03-23,2011-05-11,10转12股派3元(含税),2011-05-17,2011-05-18,4410.00万,实施方案,22.9%,0.33%
2011中报,2011-08-11,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-09,2012-04-20,2012-05-04,10转7股派1元(含税),2012-05-10,2012-05-11,3234.00万,实施方案,9.35%,0.22%
2012中报,2012-07-26,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-22,2013-04-18,2013-05-08,10转5.987064股派0.598706元(含税),2013-05-13,2013-05-14,3317.15万,实施方案,5.87%,0.11%
2013中报,2013-07-30,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-28,2014-04-24,2014-06-10,10转1.998590股派0.709499元(含税),2014-06-16,2014-06-17,6329.29万,实施方案,7.47%,0.2%
2014中报,2014-08-07,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-25,2015-05-18,2015-06-15,10派1.334187元(含税),2015-06-23,2015-06-24,1.44亿,实施方案,15.16%,0.23%
2015中报,2015-08-19,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-15,2016-05-05,2016-05-09,10转14.642250股派0.976150元(含税),2016-05-13,2016-05-16,1.23亿,实施方案,8.07%,0.25%
2016中报,2016-07-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-12,2017-05-03,2017-05-25,10派0.56元(含税),2017-06-01,2017-06-02,1.75亿,实施方案,9.33%,0.31%
2017中报,2017-08-08,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-21,2018-05-11,2018-07-03,10派0.896794元(含税),2018-07-06,2018-07-09,2.83亿,实施方案,11.21%,0.79%
2018中报,2018-08-08,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-16,2019-05-06,2019-05-20,10派0.39元(含税),2019-05-24,2019-05-27,1.23亿,实施方案,9.75%,0.53%
2019中报,2019-08-24,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-05-18,2020-05-23,10派0.66元(含税),2020-05-28,2020-05-29,2.09亿,实施方案,14.67%,0.82%
2020中报,2020-08-18,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-04-20,2021-06-01,10派0.55元(含税),2021-06-07,2021-06-08,1.74亿,实施方案,15.28%,0.76%
2021中报,2021-08-26,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-08,2022-04-28,2022-05-20,10派0.26元(含税),2022-05-26,2022-05-27,9422.94万,实施方案,13.68%,0.54%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-07,2023-04-27,2023-05-18,10派0.3元(含税),2023-05-24,2023-05-25,1.09亿,实施方案,15%,0.55%
2023中报,2023-08-25,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-04,2024-04-24,2024-05-13,10派0.43元(含税),2024-05-20,2024-05-21,1.56亿,实施方案,20.38%,0.88%
2024中报,2024-08-28,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-11,2025-05-08,2025-05-19,10派0.04元(含税),2025-05-26,2025-05-27,1449.68万,实施方案,24.69%,--
