报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1995年报,1997-01-31,1997-03-04,1997-03-05,10送3转增5股,1997-03-07,1997-03-10,--,实施方案,--,--
1996年报,1997-04-01,1997-05-10,1997-05-14,10送2转增2股,1997-05-19,1997-05-20,--,实施方案,--,--
1997年报,1998-03-20,1998-04-21,,不分配不转增,,,--,股东大会预案,--,--
1998中报,1998-08-08,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-04-06,1999-05-11,1999-07-06,10派1元(含税),1999-07-09,1999-07-12,2013.00万,实施方案,28.65%,0.74%
1999中报,1999-08-11,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-04,2000-05-11,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-08-10,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-27,2001-06-29,2001-08-17,10派0.5元(含税),2001-08-24,2001-08-27,656.63万,实施方案,33.33%,0.39%
2001中报,2001-08-16,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-20,2002-05-28,,不分配不转增,,,--,股东大会预案,--,--
2002中报,2002-08-08,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-01,2003-05-16,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-12,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-13,2004-04-16,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-07-17,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-10,2005-05-26,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-07-27,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-03-20,2006-04-22,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-07-15,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-13,2007-04-14,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-07-26,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-20,2008-05-17,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-18,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-17,2009-04-08,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-08,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-13,2010-04-03,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-13,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-24,2011-04-14,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-07-28,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-21,2012-04-13,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-10,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-18,2013-05-10,2013-06-20,10派2.00元(含税),2013-06-25,2013-06-26,2626.53万,实施方案,8.77%,0.23%
2013中报,2013-08-20,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-05-22,2014-06-12,2014-06-20,10派4元(含税),2014-06-26,2014-06-27,5253.06万,实施方案,18.52%,0.49%
2014中报,2014-08-22,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-13,2015-04-03,2015-04-22,10派5元(含税),2015-04-27,2015-04-28,6566.33万,实施方案,20.66%,0.39%
2015中报,2015-08-20,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-11,2016-04-01,2016-04-06,10派8元(含税),2016-04-11,2016-04-12,1.05亿,实施方案,27.3%,0.75%
2016中报,2016-08-11,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-02-28,2017-04-07,2017-05-04,10派8.00元(含税),2017-05-09,2017-05-10,1.36亿,实施方案,25.97%,0.73%
2017中报,2017-08-18,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-02-09,2018-03-06,2018-04-26,10派8.00元(含税),2018-05-02,2018-05-03,1.36亿,实施方案,20.57%,0.39%
2018中报,2018-08-22,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-07,2019-03-29,2019-05-17,10派8元(含税),2019-05-23,2019-05-24,1.36亿,实施方案,13.51%,0.27%
2019中报,2019-08-13,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-27,2020-04-17,2020-06-03,10转10股派10元(含税),2020-06-08,2020-06-09,2.02亿,实施方案,9.74%,0.15%
2020中报,2020-08-20,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-12,2021-04-02,2021-05-12,10派8元(含税),2021-05-18,2021-05-19,3.24亿,实施方案,10.62%,0.16%
2021中报,2021-08-14,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-17,2022-05-31,2022-06-01,10派8元(含税),2022-06-08,2022-06-09,3.22亿,实施方案,8.62%,0.46%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-30,2023-04-20,2023-04-22,10派10元(含税),2023-04-27,2023-04-28,4.05亿,实施方案,9.72%,0.61%
2023中报,2023-08-24,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-20,2024-04-10,2024-04-12,10派45元(含税),2024-04-17,2024-04-18,18.10亿,实施方案,40.14%,3.71%
2024中报,2024-08-16,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-21,2025-05-13,,10派26元(含税),,,10.47亿,股东大会预案,40.5%,--
1995中报,,,1996-12-14,不分配不转增,,,--,实施方案,--,--
