报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2009年报,2010-04-15,2010-05-26,2010-06-02,10转增3股派2元(含税),2010-06-09,2010-06-10,4480.00万,实施方案,22.22%,0.59%
2010中报,2010-08-25,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-27,2011-05-26,2011-05-30,10转10股派2元(含税),2011-06-02,2011-06-03,5824.00万,实施方案,27.78%,0.71%
2011中报,2011-07-28,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-18,2012-05-10,2012-05-12,10转3股派1.5元(含税),2012-05-17,2012-05-18,8736.00万,实施方案,25.42%,0.69%
2012中报,2012-07-26,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-18,2013-05-10,2013-05-14,10转3股派1.5元(含税),2013-05-17,2013-05-20,1.14亿,实施方案,25%,0.76%
2013中报,2013-08-23,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-22,2014-05-13,2014-05-15,10派1.20元(含税),2014-05-20,2014-05-21,1.28亿,实施方案,35.29%,1.22%
2014中报,2014-08-27,2014-09-13,2014-09-17,10派1.00元(含税),2014-09-23,2014-09-24,1.07亿,实施方案,52.63%,0.89%
2014年报,2015-04-28,2015-05-27,2015-06-19,10转4股派1.5元(含税),2015-06-25,2015-06-26,1.65亿,实施方案,30%,0.7%
2015中报,2015-07-28,2015-08-13,2015-08-17,10派0.65元(含税),2015-08-20,2015-08-21,9992.86万,实施方案,34.21%,0.4%
2015年报,2016-03-29,2016-04-19,2016-05-16,10派2.5元(含税),2016-05-20,2016-05-23,3.85亿,实施方案,49.02%,1.43%
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-27,2017-05-18,2017-06-22,10派3.00元(含税),2017-06-29,2017-06-30,4.73亿,实施方案,54.55%,1.68%
2017中报,2017-08-18,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-20,2018-05-15,2018-06-21,10派2.50元(含税),2018-06-27,2018-06-28,3.95亿,实施方案,32.05%,1.16%
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-16,2019-05-07,2019-06-20,10派3.00元(含税),2019-06-26,2019-06-27,4.74亿,实施方案,33.33%,0.98%
2019中报,2019-07-30,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-21,2020-05-12,2020-05-13,10派3.5元(含税),2020-05-19,2020-05-20,5.53亿,实施方案,33.02%,0.72%
2020中报,2020-07-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-20,2021-05-21,2021-07-02,10派3.20元(含税),2021-07-08,2021-07-09,5.28亿,实施方案,20%,0.42%
2021中报,2021-07-27,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-12,2022-05-10,2022-06-30,10派1.5元(含税),2022-07-06,2022-07-07,2.48亿,实施方案,15.62%,0.25%
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-25,2023-05-16,2023-06-29,10派4.5元(含税),2023-07-06,2023-07-07,7.44亿,实施方案,25.14%,0.95%
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-23,2024-05-17,2024-06-26,10派5元(含税),2024-07-03,2024-07-04,8.32亿,实施方案,30.12%,--
