报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2017中报,2017-08-18,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-19,2018-04-21,2018-04-26,10派2.00元(含税),2018-05-07,2018-05-08,2222.45万,实施方案,27.78%,0.85%
2018中报,2018-08-23,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-25,2019-05-21,2019-07-02,10派1.8元(含税),2019-07-08,2019-07-09,1992.06万,实施方案,51.43%,0.95%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-29,2020-05-25,2020-06-10,10派1.8元(含税),2020-06-17,2020-06-18,1992.06万,实施方案,-30.51%,0.88%
2020中报,2020-08-27,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-29,2021-05-20,2021-06-04,10派1.8元(含税),2021-06-09,2021-06-10,1992.06万,实施方案,26.47%,0.71%
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-26,2022-05-19,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-29,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-17,2023-05-12,2023-05-13,10派1.5元(含税),2023-05-19,2023-05-22,1981.13万,实施方案,21.74%,0.46%
2023中报,2023-08-22,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-28,2024-04-19,2024-05-29,10派1元(含税),2024-06-05,2024-06-06,1320.76万,实施方案,8.2%,--
