报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2010年报,2011-03-30,2011-04-21,2011-05-10,10派3.5元(含税),2011-05-13,2011-05-16,7686.00万,实施方案,34.65%,1.34%
2011中报,2011-08-02,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-24,2012-05-26,2012-06-05,10派2.00元(含税),2012-06-08,2012-06-11,4392.00万,实施方案,39.22%,1.34%
2012中报,2012-08-07,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-02-26,2013-03-20,2013-03-27,10转10股派5元(含税),2013-04-01,2013-04-02,1.10亿,实施方案,73.53%,2.76%
2013中报,2013-08-06,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-25,2014-04-17,2014-04-25,10派3.2元(含税),2014-04-30,2014-05-05,1.45亿,实施方案,65.31%,1.97%
2014中报,2014-08-19,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-31,2015-04-22,2015-05-06,10转15股派4.3元(含税),2015-05-12,2015-05-13,1.95亿,实施方案,97.73%,1.17%
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-19,2016-05-14,2016-06-03,10派1.50元(含税),2016-06-08,2016-06-13,1.70亿,实施方案,83.33%,1.94%
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-27,2017-05-19,2017-06-09,10派1.50元(含税),2017-06-14,2017-06-15,1.70亿,实施方案,83.33%,2.47%
2017中报,2017-08-22,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-28,2018-06-06,2018-06-29,10派1元(含税),2018-07-04,2018-07-05,1.13亿,实施方案,83.33%,2.84%
2018中报,2018-08-22,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-26,2019-05-17,2019-05-24,10派1.8元(含税),2019-05-30,2019-05-31,2.04亿,实施方案,600%,2.63%
2019中报,2019-08-20,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-05-19,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-04-22,2021-05-07,10派1元(含税),2021-05-13,2021-05-14,1.13亿,实施方案,52.63%,2.26%
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-20,2022-05-11,2022-05-23,10派0.5元(含税),2022-05-26,2022-05-27,5705.10万,实施方案,60.98%,1.06%
2022中报,2022-08-30,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-29,2023-06-01,2023-06-14,10派0.1元(含税),2023-06-19,2023-06-20,1142.20万,实施方案,35.71%,0.19%
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-30,2024-06-01,2024-06-13,10派0.5元(含税),2024-06-18,2024-06-19,5711.23万,实施方案,83.33%,1.06%
2024中报,2024-08-27,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,2025-05-21,,10派0.2元(含税),,,2270.24万,股东大会预案,25%,--
