报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1998年报,1999-03-18,1999-04-20,1999-04-20,10送2股转8股派0.5元(含税),1999-04-26,1999-04-27,382.00万,实施方案,12.2%,0.19%
1999中报,1999-07-20,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-02-17,2000-07-01,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-07-26,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-31,2001-05-29,2001-06-08,10派1.3778元(含税),2001-06-15,2001-06-18,3056.00万,实施方案,34.44%,0.59%
2001中报,2001-07-28,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-23,2002-05-28,2002-05-29,10转5股,2002-06-03,2002-06-04,--,实施方案,--,--
2002中报,2002-08-16,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-15,2003-05-20,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-19,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-20,2004-05-22,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-25,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-28,2005-05-31,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-08-16,,,不分配不转增,,,--,董事会预案,--,--
2006-03-15,2006-03-15,2006-04-06,2006-04-11,10转8.85股,2006-04-12,2006-04-13,--,实施方案,--,--
2005年报,2006-04-25,2006-05-27,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-22,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-26,2007-05-29,2007-06-12,10转3股,2007-06-18,2007-06-19,--,实施方案,--,--
2007中报,2007-08-20,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-29,2008-05-24,,不分配不转增,,,--,股东大会预案,--,--
2008-04-29,2008-04-29,2008-05-24,2008-05-29,10转0.8663股,2008-06-03,2008-06-04,--,实施方案,--,--
2008中报,2008-08-26,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-27,2009-05-26,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-17,2010-05-22,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-31,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-25,2011-04-19,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-23,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-10,2012-05-19,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-21,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-23,2013-06-20,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-27,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-22,2014-05-16,,不分配不转增,,,--,股东大会预案,--,--
2014中报,2014-08-19,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-21,2015-06-24,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-04-26,2016-05-20,2016-05-21,10转15股,2016-05-26,2016-05-27,--,实施方案,--,--
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-25,2017-05-20,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017三季报,2017-10-28,2017-12-30,2018-02-13,10派0.7元(含税),2018-02-27,2018-02-28,1.85亿,实施方案,45.1%,1.22%
2017年报,2018-04-28,2018-05-26,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-28,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-27,2019-05-18,2019-07-10,10派0.2元(含税),2019-07-15,2019-07-16,5525.17万,实施方案,11.81%,0.57%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-06-30,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-04,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-27,2021-05-21,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-17,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-29,2022-05-24,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-25,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-05-30,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-29,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-30,2024-06-14,,不分配不转增,,,--,股东大会预案,--,--
