报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2007年报,2008-01-29,2008-02-20,2008-02-21,10送9股转1股派1元(含税),2008-02-26,2008-02-27,5000.00万,实施方案,7.14%,0.07%
2008中报,2008-07-23,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-24,2009-04-15,2009-04-17,10送4股派2.8元(含税),2009-04-23,2009-04-24,2.80亿,实施方案,30.77%,0.66%
2009中报,2009-08-18,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-04,2010-03-26,2010-03-30,10送6股派1元(含税),2010-04-02,2010-04-06,1.40亿,实施方案,8%,0.28%
2010-04-06,2010-05-28,2010-06-18,2010-07-23,10派3.5元(含税),2010-07-29,2010-07-30,7.84亿,实施方案,--,1.83%
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-26,2011-06-27,2011-08-17,10派3.4元(含税),2011-08-22,2011-08-23,9.16亿,实施方案,34.39%,2.76%
2011中报,2011-08-27,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-24,2012-06-21,2012-08-09,10派0.5元(含税),2012-08-15,2012-08-16,1.35亿,实施方案,22.2%,0.83%
2012中报,2012-08-25,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-23,2013-06-26,2013-08-15,10派0.55元(含税),2013-08-21,2013-08-22,1.48亿,实施方案,96.83%,0.98%
2013中报,2013-08-24,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-22,2014-05-21,2014-07-12,10派0.8元(含税),2014-07-17,2014-07-18,2.16亿,实施方案,50.41%,0.89%
2014中报,2014-08-23,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-28,2015-06-10,2015-06-26,10派4.000000元(含税),2015-07-02,2015-07-03,10.78亿,实施方案,58.91%,2.14%
2015中报,2015-08-22,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-30,2016-06-29,2016-08-05,10派4.80元(含税),2016-08-11,2016-08-12,13.13亿,实施方案,45.62%,3.03%
2016中报,2016-08-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-30,2017-06-29,2017-08-17,10送3股派2.00元(含税),2017-08-23,2017-08-24,5.47亿,实施方案,18.45%,1.32%
2017中报,2017-08-26,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-24,2018-06-13,2018-08-03,10派2.00元(含税),2018-08-08,2018-08-09,7.11亿,实施方案,23.84%,1.55%
2018中报,2018-08-25,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-30,2019-06-22,2019-08-02,10派2.5元(含税),2019-08-07,2019-08-08,10.56亿,实施方案,28.27%,2.13%
2019中报,2019-08-24,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-01,2020-06-24,2020-08-06,10派1.60元(含税),2020-08-11,2020-08-12,6.76亿,实施方案,31.25%,1.33%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-27,2021-06-29,2021-08-11,10派2.5元(含税),2021-08-16,2021-08-17,10.56亿,实施方案,37.14%,1.86%
2021中报,2021-08-21,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-26,2022-06-23,2022-08-09,10派2.5元(含税),2022-08-12,2022-08-15,10.56亿,实施方案,31.7%,1.67%
2022中报,2022-08-20,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-06-21,2023-08-12,10派1.2元(含税),2023-08-17,2023-08-18,5.07亿,实施方案,23.06%,1.11%
2023中报,2023-08-22,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-06-26,,10派1元(含税),,,3.45亿,股东大会预案,34.73%,--
