报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1999中报,1999-08-23,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-03,2000-05-09,2000-06-23,10派2元(含税),2000-06-28,2000-06-29,4465.00万,实施方案,37.31%,1.05%
2000中报,2000-07-31,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-26,2001-04-27,2001-06-14,10派1.5元(含税),2001-06-21,2001-06-22,3349.00万,实施方案,--,0.69%
2001中报,2001-08-16,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-09,2002-06-07,2002-07-06,10派2元(含税),2002-07-11,2002-07-12,4465.23万,实施方案,47.96%,1.29%
2002中报,2002-08-15,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-15,2003-05-20,2003-07-03,10股派1.08元(含税),2003-07-08,2003-07-09,2411.23万,实施方案,35.18%,1.17%
2003中报,2003-07-26,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-23,2004-04-27,2004-06-04,10派0.84元(含税),2004-06-09,2004-06-10,1875.40万,实施方案,35%,1.13%
2004中报,2004-08-03,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-19,2005-05-21,2005-06-22,10送0.5股派0.18元(含税),2005-06-28,2005-06-29,401.87万,实施方案,9.33%,0.38%
2005中报,2005-08-16,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-25,2006-05-27,2006-06-22,10派1.17元(含税),2006-06-28,2006-06-29,2742.77万,实施方案,39.93%,1.47%
2006中报,2006-08-10,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-24,2007-05-17,2007-06-19,10派1.5元(含税),2007-06-25,2007-06-26,4566.37万,实施方案,28.84%,0.68%
2007中报,2007-08-15,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-22,2008-05-24,2008-06-17,10派1.4元(含税),2008-06-23,2008-06-24,4261.95万,实施方案,24.6%,1.85%
2008中报,2008-08-13,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-21,2009-05-23,2009-06-05,10转增5股,2009-06-10,2009-06-11,--,实施方案,--,--
2009中报,2009-08-18,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-20,2010-05-22,2010-06-29,10派0.2元(含税),2010-07-06,2010-07-07,913.27万,实施方案,15.82%,0.25%
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-19,2011-05-19,2011-07-01,10派0.75元(含税),2011-07-06,2011-07-07,3424.78万,实施方案,30.92%,0.62%
2011中报,2011-08-09,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-10,2012-05-10,2012-06-20,10送1股派0.35元(含税),2012-06-27,2012-06-28,1598.23万,实施方案,7.87%,0.43%
2012中报,2012-08-07,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-30,2013-05-11,2013-06-22,10送1股派0.50元(含税),2013-06-27,2013-06-28,2511.50万,实施方案,10.04%,0.66%
2013中报,2013-08-06,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-29,2014-04-26,2014-06-13,10派2.06元(含税),2014-06-18,2014-06-19,1.14亿,实施方案,30.08%,2.76%
2014中报,2014-08-05,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-04-21,2015-06-24,2015-06-26,10派2.30元(含税),2015-07-02,2015-07-03,1.27亿,实施方案,30.15%,1.13%
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-31,2016-06-01,2016-06-07,10转4股派2元(含税),2016-06-16,2016-06-17,1.71亿,实施方案,28.14%,1.61%
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-31,2017-05-17,2017-06-20,10派2.00元(含税),2017-06-23,2017-06-26,2.40亿,实施方案,53.65%,1.82%
2017中报,2017-08-22,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-03,2018-05-24,2018-06-22,10转2股派2元(含税),2018-06-28,2018-06-29,2.40亿,实施方案,39.82%,2.65%
2018中报,2018-08-21,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-02,2019-05-18,2019-06-14,10转3股派2.5元(含税),2019-06-19,2019-06-20,3.59亿,实施方案,45.97%,3.69%
2019中报,2019-08-29,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-14,2020-05-14,2020-05-22,10派3.8元(含税),2020-05-28,2020-05-29,7.10亿,实施方案,62.89%,5.98%
2020中报,2020-08-26,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-13,2021-05-21,2021-05-26,10派3.8元(含税),2021-06-01,2021-06-02,7.10亿,实施方案,51.49%,6.02%
2021中报,2021-08-24,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-16,2022-06-01,2022-07-02,10派3.3元(含税),2022-07-07,2022-07-08,6.17亿,实施方案,34.35%,5.25%
2022中报,2022-08-23,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-14,2023-06-17,2023-07-08,10派3.2元(含税),2023-07-13,2023-07-14,5.98亿,实施方案,32.95%,6.27%
2023中报,2023-08-22,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-17,2024-06-08,2024-07-13,10派2.5元(含税),2024-07-18,2024-07-19,4.67亿,实施方案,33.8%,6.25%
2024中报,2024-08-23,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-22,,,10派1元(含税),,,1.87亿,董事会预案,38.21%,--
