报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1997年报,1998-05-20,1998-06-23,,不分配不转增,,,--,股东大会预案,--,--
1998中报,1998-08-24,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-03-18,1999-06-09,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-08-05,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-10,2000-05-19,2000-06-01,10送3股,2000-06-06,2000-06-07,--,实施方案,--,--
2000中报,2000-08-04,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-23,2001-05-19,,不分配不转增,,,--,股东大会预案,--,--
2001中报,2001-08-03,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-26,2002-06-27,,不分配不转增,,,--,股东大会预案,--,--
2002中报,2002-08-28,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-22,2003-05-23,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-07-26,2003-09-09,,不分配不转增,,,--,股东大会预案,--,--
2003年报,2004-04-09,2004-05-27,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-05,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-04,2005-05-26,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-07-26,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-03-17,2006-04-22,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-25,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-18,2007-05-18,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-08-21,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-26,2008-04-29,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-20,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-18,2009-04-11,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-07-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-20,2010-04-13,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-28,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-25,2011-04-19,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-07-16,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-20,2012-04-17,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-08,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-26,2013-04-16,2013-05-31,10派0.6元(含税),2013-06-06,2013-06-07,3095.64万,实施方案,83.57%,0.76%
2013中报,2013-08-27,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-18,2014-04-10,,不分配不转增,,,--,股东大会预案,--,--
2014中报,2014-08-20,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-18,2015-04-11,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-22,2016-04-30,2016-06-15,10派0.2元(含税),2016-06-22,2016-06-23,1182.73万,实施方案,13.85%,0.16%
2016中报,2016-08-02,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-22,2017-04-14,2017-06-06,10派0.2元(含税),2017-06-12,2017-06-13,1264.21万,实施方案,14.85%,0.23%
2017中报,2017-08-29,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-27,2018-04-18,2018-04-24,10转4股,2018-05-03,2018-05-04,--,实施方案,--,--
2018中报,2018-08-21,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-23,2019-05-15,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-15,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-28,2020-05-20,2020-07-10,10派0.2元(含税),2020-07-15,2020-07-16,1815.26万,实施方案,76.34%,0.21%
2020中报,2020-08-25,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-15,2021-05-08,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-14,2022-05-07,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-29,2023-05-24,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-30,2024-05-22,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-27,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-04-29,2025-05-21,,不分配不转增,,,--,股东大会预案,--,--
