报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1993年报,1993-12-31,1994-06-18,,利润归发起人股东所有,,,--,股东大会预案,--,--
1994年报,1995-05-16,1995-06-20,1995-07-05,10派4元(含税),1995-07-10,1995-07-11,2.22亿,实施方案,--,9.41%
1995年报,1996-05-16,1996-06-19,1996-08-15,10送1股派1.5元(含税),1996-08-21,1996-08-22,1.02亿,实施方案,--,1.76%
1996年报,1997-04-16,1997-05-29,1997-07-15,10派2.4元(含税),1997-07-21,1997-07-22,1.76亿,实施方案,--,2.85%
1995中报,1998-04-20,1998-06-19,,不分配不转增,,,--,股东大会预案,--,--
1997年报,1998-08-18,1998-10-19,1998-11-13,10派2元(含税),1998-11-20,1998-11-23,1.55亿,实施方案,--,3.34%
1998年报,1999-04-15,1999-07-01,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-08-21,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-04-22,2000-06-29,2000-08-11,10派2元(含税),2000-08-18,2000-08-21,1.55亿,实施方案,84.78%,1.98%
2000中报,2000-08-09,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-30,2001-06-23,2001-08-07,10派2元(含税),2001-08-13,2001-08-14,1.55亿,实施方案,70.03%,2.25%
2001中报,2001-08-17,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-27,2002-06-29,2002-08-15,10派1.25元(含税),2002-08-21,2002-08-22,9662.74万,实施方案,57.26%,1.56%
2002中报,2002-08-22,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-28,2003-06-27,2003-07-17,10股派1.25元(含税),2003-07-23,2003-07-24,9662.61万,实施方案,85.85%,1.52%
2003中报,2003-08-22,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-26,2004-06-26,2004-07-10,10派2.5元(含税),2004-07-15,2004-07-16,1.93亿,实施方案,86.21%,3.64%
2004中报,2004-08-20,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-16,2005-06-23,2005-08-16,10派1元(含税),2005-08-19,2005-08-22,7730.09万,实施方案,66.67%,3.09%
2005中报,2005-08-26,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-06-17,2006-07-01,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-24,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-13,2007-06-27,2007-08-04,10派0.2元(含税),2007-08-09,2007-08-10,1546.02万,实施方案,25%,0.11%
2007中报,2007-08-17,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-26,2008-04-30,2008-06-19,10派0.85元(含税),2008-06-26,2008-06-27,6570.57万,实施方案,106.25%,1.25%
2008中报,2008-08-28,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-18,2009-05-23,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-28,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-12,2010-06-12,2010-07-31,10派0.2元(含税),2010-08-05,2010-08-06,1546.02万,实施方案,13.33%,0.27%
2010中报,2010-08-24,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-18,2011-05-21,2011-07-08,10派0.2元(含税),2011-07-14,2011-07-15,1546.02万,实施方案,7.14%,0.24%
2011中报,2011-08-17,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-23,2012-04-27,2012-06-08,10派0.1元(含税),2012-06-14,2012-06-15,773.01万,实施方案,50%,0.14%
2012中报,2012-08-20,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-23,2013-05-17,2013-07-04,10派0.4元(含税),2013-07-09,2013-07-10,4212.70万,实施方案,10.9%,0.65%
2013中报,2013-08-23,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-18,2014-06-19,2014-06-28,10派3元(含税),2014-07-03,2014-07-04,3.16亿,实施方案,27.03%,4.55%
2014中报,2014-08-12,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-21,2015-05-29,2015-07-22,10派1.80元(含税),2015-07-28,2015-07-29,1.90亿,实施方案,20.45%,1.18%
2015中报,2015-09-10,2015-09-29,2015-11-13,10送2股转5股派0.23元(含税),2015-11-19,2015-11-20,2422.30万,实施方案,3.39%,0.14%
2015年报,2016-03-30,2016-04-29,2016-06-21,10派3元(含税),2016-06-27,2016-06-28,5.37亿,实施方案,46.15%,4.05%
2016中报,2016-08-31,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-06,2017-04-29,2017-06-21,10派0.50元(含税),2017-06-27,2017-06-28,8951.98万,实施方案,10%,0.85%
2017中报,2017-08-31,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-24,2018-04-17,2018-06-05,10派0.10元(含税),2018-06-08,2018-06-11,1790.40万,实施方案,14.29%,0.21%
2018中报,2018-08-30,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-27,2019-05-18,2019-05-25,10派0.44元(含税),2019-05-30,2019-05-31,7877.74万,实施方案,14.19%,0.95%
2019中报,2019-08-31,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-25,2020-05-16,2020-07-01,10派1.19元(含税),2020-07-06,2020-07-07,2.70亿,实施方案,30.51%,2.67%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-26,2021-04-16,2021-05-22,10派0.76元(含税),2021-05-27,2021-05-28,1.72亿,实施方案,16.89%,1.91%
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-28,2022-05-27,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-25,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-05-26,2023-06-14,10派0.48元(含税),2023-06-19,2023-06-20,1.09亿,实施方案,25.26%,0.78%
2023中报,2023-08-24,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-16,2024-05-17,2024-05-23,10派2.21元(含税),2024-05-29,2024-05-30,5.01亿,实施方案,35.08%,--
