报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2003中报,2003-08-29,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-26,2004-06-17,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-27,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-26,2005-06-16,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-08-29,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-20,2006-06-16,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-18,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-17,2007-06-29,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-08-21,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-21,2008-06-26,2008-08-25,10转5股,2008-08-28,2008-08-29,--,实施方案,--,--
2008中报,2008-08-19,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-15,2009-07-01,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-31,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-13,2010-07-01,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-29,2011-06-01,,不分配不转增,,,--,股东大会预案,--,--
2011年报,2012-03-30,2012-06-01,2012-07-02,10派2元(含税),2012-07-06,2012-07-09,19.64亿,实施方案,38.46%,4.19%
2012中报,2012-08-28,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-27,2013-06-19,2013-07-15,10派0.5元(含税),2013-07-18,2013-07-19,4.91亿,实施方案,18.52%,1.87%
2013中报,2013-08-27,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-29,2014-06-27,2014-07-25,10派0.4元(含税),2014-07-30,2014-07-31,3.93亿,实施方案,21.05%,1.59%
2014中报,2014-08-30,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-31,2015-07-01,2015-07-31,10派0.4元(含税),2015-08-05,2015-08-06,3.93亿,实施方案,22.22%,0.33%
2015中报,2015-08-29,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-31,2016-05-28,2016-06-27,10派0.8元(含税),2016-06-30,2016-07-01,7.85亿,实施方案,20.51%,1.13%
2016中报,2016-08-30,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-31,2017-07-01,2017-07-20,10派1元(含税),2017-07-25,2017-07-26,9.82亿,实施方案,19.61%,1.2%
2017中报,2017-08-30,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-27,2018-06-16,2018-07-06,10派1元(含税),2018-07-11,2018-07-12,10.09亿,实施方案,16.67%,1.33%
2018中报,2018-08-29,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-30,2019-06-27,2019-07-18,10派0.5元(含税),2019-07-23,2019-07-24,5.83亿,实施方案,17.86%,0.67%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-31,2020-07-01,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-07-01,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-07-01,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-29,2023-06-28,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-30,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-28,2024-05-25,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-30,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-27,2025-05-24,,不分配不转增,,,--,股东大会预案,--,--
