报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016中报,2016-08-03,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-04-27,2017-05-24,2017-06-08,10转10股派5元(含税),2017-06-15,2017-06-16,5000.00万,实施方案,41.32%,0.83%
2017中报,2017-08-10,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-20,2018-05-11,2018-06-15,10派2元(含税),2018-06-21,2018-06-22,4000.00万,实施方案,33.33%,1.55%
2018中报,2018-08-30,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-25,2019-05-17,2019-06-03,10派1.2元(含税),2019-06-10,2019-06-11,2400.00万,实施方案,31.58%,1.11%
2019中报,2019-08-27,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-24,2020-05-16,2020-06-11,10派0.5元(含税),2020-06-17,2020-06-18,986.34万,实施方案,11.9%,0.49%
2020中报,2020-08-27,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-30,2021-05-22,2021-06-04,10派1.2元(含税),2021-06-09,2021-06-10,2367.23万,实施方案,22.64%,1.12%
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-30,2022-05-21,2022-06-09,10派1.66元(含税),2022-06-15,2022-06-16,3274.66万,实施方案,31.44%,1.63%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-29,2023-05-20,2023-06-15,10转3股派0.7元(含税),2023-06-20,2023-06-21,1380.88万,实施方案,35%,0.59%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-27,2024-05-18,2024-06-15,10派0.6元(含税),2024-06-20,2024-06-21,1515.09万,实施方案,31.58%,0.7%
2024中报,2024-08-31,,,不分配不转增,,,--,董事会预案,--,--
2024三季报,2025-01-20,2025-02-15,2025-03-03,10派0.7元(含税),2025-03-06,2025-03-07,1767.60万,实施方案,30.43%,0.73%
2024年报,2025-04-30,2025-05-24,,10派0.4元(含税),,,1010.06万,股东大会预案,19.05%,--
