报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
1997年报,1998-03-03,1998-06-09,,不分配不转增,,,--,股东大会预案,--,--
1998中报,1998-07-29,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-03-10,1999-04-21,1999-04-24,10转增1.946股,1999-04-28,1999-04-29,--,实施方案,--,--
1999中报,1999-07-27,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-11,2000-05-26,2000-05-31,10送5股,2000-06-05,2000-06-06,--,实施方案,--,--
2000中报,2000-07-28,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-03-09,2001-07-03,2001-07-25,10派1.5元(含税),2001-07-30,2001-07-31,2761.65万,实施方案,94.22%,1.45%
2001中报,2001-08-07,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-03-26,2002-07-02,,不分配不转增,,,--,股东大会预案,--,--
2002中报,2002-08-12,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-30,2003-07-01,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-18,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-09,2004-04-10,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-07-22,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-01-26,2005-03-05,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-07-28,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-02-23,2006-03-28,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-04,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-16,2007-06-30,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-07-20,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-08,2008-05-10,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-07,,,不分配不转增,,,--,董事会预案,--,--
2009中报,2009-08-10,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-02-09,2010-05-22,,不分配不转增,,,--,股东大会预案,--,--
2010-03-02,2010-03-02,2010-03-18,2010-04-28,10派20元(含税),2010-05-06,2010-05-07,10.14亿,实施方案,--,4.59%
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-04-07,2011-04-28,2011-06-14,10派5元(含税),2011-06-21,2011-06-22,12.54亿,实施方案,30.86%,1.42%
2011中报,2011-08-23,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-17,2012-05-08,2012-06-29,10转10股派5.00元(含税),2012-07-04,2012-07-05,14.80亿,实施方案,64.1%,1.68%
2012中报,2012-08-28,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-23,2013-05-14,2013-07-05,10派1.5元(含税),2013-07-10,2013-07-11,8.88亿,实施方案,40.54%,1.3%
2013中报,2013-08-27,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-22,2014-05-13,2014-07-03,10派2.0元(含税),2014-07-08,2014-07-09,11.84亿,实施方案,41.67%,2.03%
2014中报,2014-08-19,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-14,2015-03-10,2015-04-30,10派2.0元(含税),2015-05-07,2015-05-08,15.24亿,实施方案,23.53%,0.73%
2015中报,2015-08-22,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-19,2016-06-29,2016-08-16,10派8.0元(含税),2016-08-23,2016-08-24,60.97亿,实施方案,42.78%,4.47%
2016中报,2016-08-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-25,2017-05-11,2017-06-27,10派3.5元(含税),2017-07-04,2017-07-05,26.67亿,实施方案,33.33%,2.06%
2017中报,2017-08-26,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-24,2018-06-30,2018-08-09,10派4.0元(含税),2018-08-14,2018-08-15,30.48亿,实施方案,35.4%,3.01%
2018中报,2018-08-30,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-27,2019-06-29,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-30,2019-10-23,2019-12-07,10派2.0元(含税),2019-12-12,2019-12-13,15.24亿,实施方案,37.04%,1.45%
2019年报,2020-03-28,2020-06-10,2020-07-30,10派3.5元(含税),2020-08-04,2020-08-05,26.67亿,实施方案,35.35%,2.16%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-30,2021-05-14,2021-06-30,10派4.5元(含税),2021-07-06,2021-07-07,34.29亿,实施方案,34.09%,3.04%
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-05-21,2022-07-07,10派5元(含税),2022-07-12,2022-07-13,38.11亿,实施方案,35.21%,2.86%
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-06-29,2023-08-05,10派3.5元(含税),2023-08-10,2023-08-11,26.67亿,实施方案,34.31%,2.08%
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-29,2024-05-11,2024-06-27,10派3元(含税),2024-07-02,2024-07-03,22.86亿,实施方案,36.14%,2.45%
2024中报,2024-08-31,2024-10-16,2024-11-22,10派1元(含税),2024-11-27,2024-11-28,7.62亿,实施方案,19.23%,0.61%
2024年报,2025-03-29,2025-05-17,,10派4元(含税),,,23.62亿,股东大会预案,34.78%,--
