报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2001年报,2001-12-31,2002-04-25,2002-04-25,10派0.5元(含税),,,3112.40万,实施方案,23.81%,--
2002中报,2002-08-03,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-03-07,2003-05-17,2003-06-03,10股派0.5元(含税),2003-06-06,2003-06-09,5917.40万,实施方案,21.74%,0.65%
2003中报,2003-08-13,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-03-18,2004-05-13,2004-06-05,10派1元(含税),2004-06-09,2004-06-10,1.26亿,实施方案,16.13%,0.79%
2004中报,2004-08-10,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-03-23,2005-05-19,2005-06-01,10派1.3元(含税),2005-06-06,2005-06-07,1.63亿,实施方案,16.25%,1.96%
2005中报,2005-08-25,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-26,2006-06-19,2006-06-29,10派0.7元(含税),2006-07-05,2006-07-06,8789.76万,实施方案,21.87%,0.51%
2006中报,2006-08-23,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-13,2007-06-11,2007-06-20,10派2元(含税),2007-06-25,2007-06-26,3.13亿,实施方案,16.81%,0.36%
2007中报,2007-08-18,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-03-28,2008-06-03,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-15,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-03-31,2009-06-06,2009-06-18,10派3元(含税),2009-06-23,2009-06-24,5.30亿,实施方案,19.35%,0.74%
2009中报,2009-08-20,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-30,2010-06-04,2010-06-10,10转10股派3.5元(含税),2010-06-18,2010-06-21,6.18亿,实施方案,17.41%,1.02%
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-29,2011-06-01,2011-06-09,10转5股派3元(含税),2011-06-15,2011-06-16,10.60亿,实施方案,17.14%,0.81%
2011中报,2011-08-16,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-27,2012-06-01,2012-06-08,10派3.5元(含税),2012-06-13,2012-06-14,18.55亿,实施方案,15.98%,2.13%
2012中报,2012-08-15,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-23,2013-05-29,2013-06-05,10派2.5元(含税),2013-06-13,2013-06-14,13.25亿,实施方案,21.01%,1.7%
2013中报,2013-08-16,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-25,2014-05-29,2014-06-11,10派3.5元(含税),2014-06-17,2014-06-18,18.55亿,实施方案,19.77%,2.12%
2014中报,2014-08-22,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-24,2015-06-03,2015-06-12,10派6.5元(含税),2015-06-18,2015-06-19,34.45亿,实施方案,31.4%,2.61%
2015中报,2015-08-22,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-24,2016-06-03,2016-06-15,10派4.3元(含税),2016-06-21,2016-06-22,22.79亿,实施方案,30.28%,2.93%
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-24,2017-06-01,2017-06-13,10派5元(含税),2017-06-20,2017-06-21,26.50亿,实施方案,31.06%,2.37%
2017中报,2017-08-22,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-23,2018-05-31,2018-06-12,10派12元(含税),2018-06-19,2018-06-20,63.59亿,实施方案,40.13%,3.36%
2018中报,2018-08-23,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-22,2019-05-31,2019-06-11,10派16.9元(含税),2019-06-18,2019-06-19,89.56亿,实施方案,30.02%,4.15%
2019中报,2019-08-23,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-21,2020-05-30,2020-06-10,10派20元(含税),2020-06-17,2020-06-18,105.99亿,实施方案,31.55%,3.57%
2020中报,2020-08-22,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-26,2021-05-29,2021-06-09,10派21.2元(含税),2021-06-16,2021-06-17,112.35亿,实施方案,31.98%,4.5%
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-26,2022-06-01,2022-06-14,10派23.8元(含税),2022-06-20,2022-06-21,126.12亿,实施方案,37.9%,6.42%
2022中报,2022-08-26,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-28,2023-06-01,2023-06-13,10派14.8元(含税),2023-06-19,2023-06-20,78.43亿,实施方案,50%,5.63%
2023中报,2023-08-22,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-20,2024-05-31,2024-06-18,10派9.6元(含税),2024-06-21,2024-06-24,50.87亿,实施方案,48.73%,3.91%
2024中报,2024-08-28,,,不分配不转增,,,--,董事会预案,--,--
2024年报,2025-03-25,,,10派7.10元(含税),,,28.24亿,董事会预案,48.63%,--
