报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1993年报,1993-12-31,,,不分配不转增,,,--,股东大会预案,--,--
1994年报,1995-04-04,1995-05-03,1995-05-03,10派2.2元(含税),1995-05-09,1995-05-10,2191.00万,实施方案,--,2.56%
1995年报,1996-04-30,1996-06-03,,不分配不转增,,,--,股东大会预案,--,--
1996年报,1997-04-27,1997-05-29,1997-06-11,10转增1股派0.5元(含税),1997-07-07,1997-07-08,498.00万,实施方案,--,0.85%
1997年报,1998-04-18,1998-06-16,,不分配不转增,,,--,股东大会预案,--,--
1998年报,1999-04-28,1999-05-31,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-08-07,,,不分配不转增,,,--,董事会预案,--,--
1999年报,2000-03-31,2000-05-27,2000-07-19,10送1.2股,2000-07-24,2000-07-25,--,实施方案,--,--
2000中报,2000-07-31,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-04-12,2001-06-12,2001-07-24,10送2股派0.6元(含税),2001-07-30,2001-07-31,1004.96万,实施方案,14.58%,0.37%
2001中报,2001-08-17,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-17,2002-05-21,,不分配不转增,,,--,股东大会预案,--,--
2002中报,2002-08-21,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-19,2003-06-17,,不分配不转增,,,--,股东大会预案,--,--
2003中报,2003-08-23,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-17,2004-05-29,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-21,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-23,2005-06-01,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-08-19,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-03-25,2006-04-29,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-29,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-04-27,2007-05-26,,不分配不转增,,,--,股东大会预案,--,--
2007中报,2007-07-18,,,不分配不转增,,,--,董事会预案,--,--
2007年报,2008-04-26,2008-05-20,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-25,,,不分配不转增,,,--,董事会预案,--,--
2008年报,2009-04-18,2009-05-16,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-29,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-04-17,2010-06-05,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-30,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-31,2011-04-27,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-31,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-04-05,2012-04-28,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-31,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-04-27,2013-06-08,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-08-31,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-04-14,2014-05-24,,不分配不转增,,,--,股东大会预案,--,--
2014中报,2014-08-30,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-02-17,2015-06-24,,不分配不转增,,,--,股东大会预案,--,--
2015中报,2015-08-31,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-02-06,2016-06-08,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-27,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-25,2017-06-24,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-31,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-31,2018-05-26,2018-06-29,10派0.15元(含税),2018-07-05,2018-07-06,301.49万,实施方案,15%,0.15%
2018中报,2018-08-31,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-30,2019-05-25,2019-06-28,10派0.17元(含税),2019-07-05,2019-07-08,341.69万,实施方案,34%,0.15%
2019中报,2019-08-24,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-30,2020-05-30,2020-06-13,10派0.13元(含税),2020-06-19,2020-06-22,261.29万,实施方案,32.5%,0.15%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-04-21,2021-06-11,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-31,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-04-15,2022-06-30,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-28,2023-06-17,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-31,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-30,2024-04-30,,不分配不转增,,,--,股东大会预案,--,--
